"","neighborhood.x","count","dis5mean","dis5sd","dis5max","dis5min","dis10mean","dis10sd","dis10max","dis10min"
"1","Adams",41,1918.85928447215,970.235301503881,4647.62717208797,644.703596591944,4098.88323580866,1566.58545929458,6408.40954128342,771.566737434098
"2","Alki",8,1804.75584034599,768.927840287669,2574.3172987373,336.247048628622,2793.71749625841,499.008542563976,3453.83503850145,2045.99147882846
"3","Atlantic",5,3191.52959496486,1689.22100742511,5534.40446643171,1384.87974108581,6685.87307544101,4818.42078590092,12113.9509749078,2351.15084698593
"4","Belltown",35,1750.86938660682,3050.71184870175,17418.3639765391,49.072467007402,3319.02141400684,3314.67504981749,17462.8586002423,32.9548485324885
"5","Bitter Lake",4,2678.36655784065,433.320623230954,3256.04519853513,2244.79595785458,5003.51488580144,1409.9853870866,7077.54540312686,3943.40544123755
"6","Broadview",6,2819.47149082308,1073.99669025019,4298.32007265336,1264.35714558285,4610.19348671278,1894.84638223258,6767.17126431344,1287.19794263735
"7","Broadway",43,1382.62917700696,1635.51801276801,10274.3872791004,27.9623046434988,3642.60880819759,3080.28243209048,16341.5108377736,455.747738818911
"8","Bryant",8,1649.6253724922,473.015661126928,2151.77350718073,720.081921400557,3580.79962703744,1348.28206285736,5384.24776642387,1657.29363497943
"9","Cedar Park",1,3383.32948944039,NA,3383.32948944039,3383.32948944039,6020.04333403529,NA,6020.04333403529,6020.04333403529
"10","Central Business District",40,1492.55287722953,1857.07655276815,9115.49725999859,89.0962945245886,3803.45360146682,3243.05282108843,13907.5126634524,236.262508741874
"11","Columbia City",12,1676.39186302492,728.101848425442,3014.0237546427,850.895250310253,2440.77751989977,1547.26855879676,5406.35274015899,818.523182711816
"12","Crown Hill",6,955.331369104626,930.990659310964,2615.97812630483,323.509853095796,2812.8271440773,1017.05007112106,4121.77357514737,2003.59938675881
"13","Dunlap",13,3828.23541588479,1369.18286081336,5785.72161176155,2133.39561510261,6330.4435078756,1278.07537517899,8402.45870687253,4438.28827675042
"14","East Queen Anne",11,2093.50270923864,1517.76648217259,5130.08625585584,210.486354428753,3878.73046210222,2153.42749284727,6612.72971260762,830.471799421356
"15","Eastlake",4,1696.13598381826,1135.001964592,2841.01735221931,136.997323762665,2397.86690603031,1014.53981745646,3905.59418072715,1749.35432453985
"16","Fairmount Park",5,2278.20566771918,1615.81254229085,3845.10221571976,380.713717887707,3858.62528789898,1024.10504720499,5011.62204713418,2564.69607855726
"17","Fauntleroy",21,2420.80924759137,1150.42312974133,4504.1057059197,267.582308968308,4505.57713926757,1682.1359484915,6482.84675026598,578.588460395012
"18","First Hill",17,1521.06115757035,1601.03850172125,5454.47083826383,87.7613960676981,5093.9102062464,4551.25286630878,13185.3577184536,236.262508741874
"19","Fremont",20,1482.78940470617,1157.08400601394,4568.64850367686,37.644133803141,3050.94135270691,2656.35831992069,9694.50919736527,317.583413715489
"20","Gatewood",4,2593.64692630264,1502.05129121455,4515.61450024732,859.719079701172,4251.43054309719,2509.16551221364,7804.53927572577,2476.01700918347
"21","Genesee",13,1523.86264641452,1133.20045088771,3890.40626165846,333.314316571859,3048.8626678813,2096.23460948259,6276.54705582113,713.161927801605
"22","Georgetown",17,2427.77925723752,1990.55941931878,5902.77903023301,59.5541758916415,5030.19309380766,2280.46357515054,10171.3268517267,470.670721247207
"23","Green Lake",9,1868.48969094025,282.822071013468,2231.97339373915,1447.30644787119,3138.67867519873,671.939577387831,3817.5354339826,1715.56373150311
"24","Greenwood",37,2041.7127001934,1069.79713372643,3711.49059799258,127.125238985238,4598.09622762555,2248.83124656726,9166.25379895527,764.510679946383
"25","Haller Lake",22,2058.25302558718,1037.52690260169,3684.47337861341,98.8209468679304,3992.50532682127,2429.76297557344,11105.6637928674,580.3773196474
"26","Harrison/Denny-Blaine",1,2306.33128175086,NA,2306.33128175086,2306.33128175086,4059.89828444037,NA,4059.89828444037,4059.89828444037
"27","High Point",2,2795.74802544557,1203.32468768913,3646.62707207974,1944.86897881141,4901.67042312282,1928.42816120898,6265.27505294479,3538.06579330084
"28","Holly Park",10,1743.12708802999,854.993831863793,2802.22973276553,233.837497718184,4316.2221362526,1781.24044067744,7372.20932350415,2611.44278672583
"29","Industrial District",38,2310.13517169304,1865.47976409119,8417.90936053455,43.0446203018563,4572.56942328982,3610.97120095559,11943.0066529447,13.9872206358734
"30","Interbay",6,2401.88474412197,1437.67610124075,4370.47514260029,222.279695424917,3393.78406078805,1779.13823326225,6848.30898417827,1908.89271137215
"31","International District",10,877.438637933052,544.273065973651,1899.30783500557,173.660028102075,3177.01489459158,2140.81280347526,7430.34797372967,1531.81576909972
"32","Laurelhurst",19,1327.61338152385,1125.14063208125,3685.74645049976,238.739933993073,2844.28272679985,1508.50810731244,5372.86586583872,824.982573212022
"33","Lawton Park",8,2352.85355812446,847.726204804212,3095.60938606446,520.86274649008,3544.51373677126,1502.43035958872,5416.02875397546,1590.2227670462
"34","Leschi",1,2389.41577377442,NA,2389.41577377442,2389.41577377442,3035.53178546607,NA,3035.53178546607,3035.53178546607
"35","Lower Queen Anne",43,1497.77832251278,1184.18797686451,5153.41533966853,32.713050070071,3531.11541485872,2349.88057224601,9600.68076016579,623.556583014817
"36","Loyal Heights",4,1898.01684755753,508.777070409491,2412.12404206456,1348.17054934571,4239.78001226552,1143.28070499412,5865.59719685378,3183.50396462974
"37","Madison Park",2,1638.14618266796,1983.75357778425,3040.87178972228,235.42057561364,1942.08839312157,2000.11871485363,3356.3858995727,527.790886670451
"38","Madrona",2,2346.18088763641,512.362262901397,2708.47571815807,1983.88605711474,4405.86837538764,1282.52519339855,5312.75063668234,3498.98611409294
"39","Mann",6,1617.96871430735,1135.41218414541,3719.26030664811,515.105290317416,2880.90755492718,1848.19205511958,5935.48035042031,691.678822712203
"40","Maple Leaf",27,2192.48045411791,1646.86149029399,7666.88735011347,543.975035045277,4691.32556294639,3490.60221192411,14639.5309605661,924.003651003344
"41","Matthews Beach",6,2253.93389501581,235.521735411747,2700.47868017618,2065.14480622887,4047.17505268321,758.606685997644,5277.66668034372,3237.19109776775
"42","Meadowbrook",1,2784.6538698372,NA,2784.6538698372,2784.6538698372,4404.18816694502,NA,4404.18816694502,4404.18816694502
"43","Mid-Beacon Hill",7,2570.54801682039,1392.25618613668,4986.56157903599,957.356904965725,3657.46638096579,1489.19091060614,5475.80760605341,1446.78990873706
"44","Minor",16,2269.51424869463,4162.92696549908,12923.7064876977,121.406889600941,5437.89994266873,6568.92987459031,20666.4719537631,425.992034504441
"45","Montlake",13,1535.16042321884,1004.59652335208,3024.24546568671,261.561821595456,2901.47063994042,2077.81074399969,8211.04407091823,210.371503490261
"46","North Admiral",7,1836.830556095,1209.00374071369,3800.9007619418,183.183032610719,4255.68236169484,2100.91929146201,6970.01716408541,2009.63642384266
"47","North Beach/Blue Ridge",1,1537.37800909048,NA,1537.37800909048,1537.37800909048,5196.34023013365,NA,5196.34023013365,5196.34023013365
"48","North Beacon Hill",21,2221.76988639632,1820.20509450313,6698.84577016135,167.259801403969,4358.87140275522,2541.92090501657,9967.82493077262,1484.46177414889
"49","North College Park",6,1743.56607947386,1506.42281085595,4171.00946604062,61.4936099281638,4035.21994812584,3172.16959864371,8516.24202997247,180.359160032486
"50","North Delridge",18,1767.66474874829,940.265504238427,3999.74912968997,348.815915288344,3936.59644191463,1961.38776064867,10497.031077484,1980.12756883896
"51","North Queen Anne",18,1726.25763533847,720.686016693335,3283.69673806878,637.600026260266,3004.736209872,1772.10927770373,6802.86607326575,317.583413715489
"52","Olympic Hills",12,3900.43232492366,3105.70622281871,11080.4010383398,493.500477136308,6262.72677531099,3936.37265592625,15688.4827807496,1188.41835664945
"53","Phinney Ridge",24,2051.93255161836,1472.14734697439,7011.24270162238,242.070030038819,3635.11224858137,1481.86352966608,7501.71481655182,772.829014783986
"54","Pike-Market",2,929.404658329512,78.0663473290696,984.605901908361,874.203414750663,5955.18908004775,1823.624409413,7244.686266281,4665.6918938145
"55","Pinehurst",9,3726.07601346932,4219.04323934483,14391.7699697537,728.521691903185,6996.3255766484,5905.50162068301,21247.8706644339,1932.76973604306
"56","Pioneer Square",6,740.52912363425,978.10119863223,2599.30224532502,30.6161408150868,2594.41794731173,2724.10306838771,6684.67214270602,79.2181007785126
"57","Portage Bay",2,4902.25705367914,5722.56950862967,8948.72475904255,855.789348315726,6861.75856797958,6860.08896470903,11712.5739944683,2010.94314149083
"58","Rainier View",5,2808.92898862708,1113.31663253489,4217.29701254015,1341.22544409619,4030.26163048218,420.127350102826,4741.60627763392,3704.76346160187
"59","Ravenna",20,1749.83556201675,1016.20086034657,4842.21384681808,353.250861385722,3094.59434583482,1991.76611199486,7908.31592465516,801.531842588677
"60","Riverview",3,1073.26372182468,669.917631816914,1499.07726057425,301.07012435329,4105.09074584429,3200.77060919307,7764.26233538554,1825.19400140129
"61","Roosevelt",29,2343.66329839966,1428.91578619519,5738.87456769749,177.57039631218,5179.86172100712,3127.81117580808,13367.2287881005,2108.03723278964
"62","Roxhill",8,2133.67734322265,611.011299488754,3125.69773290062,1498.50489475858,4943.73529594303,665.295007260706,5749.10883176802,3731.29039685523
"63","Sand Point",3,485.722460050543,275.663483159363,725.658062326216,184.60958992652,2492.03977566214,1385.25460574197,3306.0818312579,892.570857379981
"64","Seaview",4,790.533620555812,501.152961416709,1460.01063983255,395.165422712196,2975.49156191186,766.06861065283,3706.58967368088,2313.87857385779
"65","Seward Park",3,2273.55907116648,1047.81584292744,3084.41724172357,1090.44122351551,3910.52000418859,1264.89654105742,5110.64624786128,2589.52969531108
"66","South Delridge",3,3783.04294812121,190.652533311203,3988.48342304373,3611.80959581552,7766.98568929813,361.835258060806,8011.07822963097,7351.27485233597
"67","South Lake Union",34,2038.47953335622,2365.32570819567,11042.8432912942,208.606274987353,4197.00093756463,3217.8291257885,10454.4744297468,386.949544349012
"68","Southeast Magnolia",3,1744.98191240829,848.002278189113,2545.99098560028,856.731322714978,2628.19015675782,805.114790176407,3485.75954886109,1888.53429984284
"69","Stevens",29,1601.12487084239,1078.78112933114,5168.23198004183,49.9312824667949,4659.06226005976,3355.09204735327,17462.8586002423,32.9548485324885
"70","Sunset Hill",3,1973.21488178028,1242.91389272792,2695.73976723929,538.0328484131,3135.68982421165,2361.34328250877,4877.02401473,447.948562731365
"71","University District",48,1421.6955294008,1749.19735912187,10246.8148676809,125.973847512801,3682.8896750001,2623.98879870228,11900.3596211222,408.784864385142
"72","View Ridge",2,2689.04742217426,259.164701242726,2872.30453986718,2505.79030448134,2975.93259876422,381.694440076552,3245.83132568355,2706.03387184489
"73","Wallingford",26,2675.70569399811,2232.58820699801,10650.0872445572,181.544505284665,5256.1147132783,3623.59808415398,11952.9559492727,455.895132478141
"74","Wedgwood",4,1642.82812413151,576.539893257643,2223.27180123485,993.216987965019,2710.26022600626,533.159714164732,3439.78552796283,2164.66104377164
"75","West Queen Anne",5,898.898783768471,900.871210436203,2437.1980493467,243.421606785739,1817.97466986757,1200.3036614961,3704.41078074847,386.949544349012
"76","West Woodland",18,2068.5745004852,1077.73485083235,4239.16321726405,280.993925645466,3539.24412419372,1498.87695696296,6397.99857360069,1461.52459717516
"77","Westlake",15,2606.55072652135,2469.60852215114,8254.71054231692,464.891700780976,4650.02096999336,3659.17346773939,14031.6549455434,695.202769942925
"78","Whittier Heights",1,2092.29825846972,NA,2092.29825846972,2092.29825846972,3143.58475379451,NA,3143.58475379451,3143.58475379451
"79","Yesler Terrace",1,8228.17503775446,NA,8228.17503775446,8228.17503775446,10602.1285452877,NA,10602.1285452877,10602.1285452877
